"1516728889-363","http://shadowofwar.wikia.com/wiki/Artifacts","Serpentine Blade","http://shadowofwar.wikia.com/wiki/Serpentine_Blade","Memory Audio","Serpentine Blade","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Serpentine Blade, Orcish, Third Age, 2942""},{""descriptiong"":""A deadly shiv, this serpentine blade has played a role in many betrayals. Uruk power struggles are legendary, weakness is not tolerated, and warriors move up in ranks by murdering their superiors. The Uruks have been roused by their recent successes in Mordor, and as the soldiers' ambition grows, weapons such as these are becoming more and more common.""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""Remember me, filth?""},{""descriptiong"":""What the -""},{""descriptiong"":""Change of plans, lads. I'm in charge, and we're gonna tear the Black Hand up.""},{""descriptiong"":""Don't you forget about me!""},{""descriptiong"":""Ah, yeah, right. My, uh, memory's not that good.\""""},{""descriptiong"":""""}]"
"1516728898-410","http://shadowofwar.wikia.com/wiki/Artifacts","Hoe Blade","http://shadowofwar.wikia.com/wiki/Hoe_Blade","","Hoe Blade","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Gardening Hoe Blade, Third Age, circa 2920""},{""descriptiong"":""\""Númenóreans carried a great many things with them in their great diaspora. Their journey was long and perilous, and not all who undertook it lived to see their new homes.""},{""descriptiong"":""They carried with them what they could; beyond their physical possessions, the tools and the trinkets, they also carried with them their shared dreams for a better life. Their land was consumed, but they would live on. And their relics are spread throughout Middle-earth.\""""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""The first line in the actoul audio without reading meant to say \""He's in jail for a reason\""\n\""He's in gaol for a reason.""},{""descriptiong"":""For saying what we're all thinking?""},{""descriptiong"":""You want to live forever? Plowing this field?""},{""descriptiong"":""The Elves lord it over us! Don't they just? Sauron's right. We can live without pain, without growing old.""},{""descriptiong"":""And you want to go to war to make that happen?""},{""descriptiong"":""I want the king to listen to good ideas!""},{""descriptiong"":""Well, then, he should have nothing to do with Sauron. Fighting with the Elves is not a bad idea. It's the worst idea imaginable.\""""},{""descriptiong"":""""}]"
"1516728906-455","http://shadowofwar.wikia.com/wiki/Artifacts","Mortar and Pestle","http://shadowofwar.wikia.com/wiki/Mortar_and_Pestle","Haha! They say we have won a monumental victory! You'll not be needing all that Athelas you've been grinding, my friend. Few need healing on this day! And more's the wonder! They say the Golden King has brought back a prize - Sauron himself, wearing the heavy chains!""","Mortar and Pestle","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Mortar and pestle, possibly of Númenórean Origin, Second Age, circa 3261.""},{""descriptiong"":""A remarkable find, this artifact may date back to the Second Age, to the great Númenórean incursion wherein the Dark Lord Sauron willingly fell into captivity. It would likely have been used by a healer to grind roots and herbs in the creation of poultices and unguents required to keep an army hale and (relatively) healthy.""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""The first messengers have rolled in to camp. They're reporting few casualties. We've struck a mighty blow against the forces of Mordor aligned against us.""},{""descriptiong"":""Let it be so, and not fools' idle chatter. Hegadorn! What news?""},{""descriptiong"":""Haha! They say we have won a monumental victory! You'll not be needing all that Athelas you've been grinding, my friend. Few need healing on this day! And more's the wonder! They say the Golden King has brought back a prize - Sauron himself, wearing the heavy chains!\""""},{""descriptiong"":""""}]"
"1516728876-294","http://shadowofwar.wikia.com/wiki/Artifacts","Ranger's Cloak Clasp","http://shadowofwar.wikia.com/wiki/Ranger%27s_Cloak_Clasp","Rangers would use the clasps as makeshift signal devices, catching sunlight to create reflective flashes to communicate with their comrades over long distances.""","Ranger's Cloak Clasp","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Tarnished Ranger's Cloak Clasp, Second Age, circa 3440""},{""descriptiong"":""\""These decorative metal bands were used by Rangers primarily to keep their cloaks closed. As guardsmen of Gondor, Rangers were held to exacting standards by their masters, and this meant keeping their clasps polished.""},{""descriptiong"":""Rangers would use the clasps as makeshift signal devices, catching sunlight to create reflective flashes to communicate with their comrades over long distances.\""""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""The towers will be up soon. Don't know why we're calling them the teeth. They should be called the jaw.""},{""descriptiong"":""Because they'll be hitting us there?""},{""descriptiong"":""Indeed. Right on the jaw, and as often as they can.""},{""descriptiong"":""That's a grim outlook, brother. We'll be able to see into Mordor here. And bite if necessary.\""""},{""descriptiong"":""""}]"
"1516728844-149","http://shadowofwar.wikia.com/wiki/Artifacts","Coded Journal Entry #2","http://shadowofwar.wikia.com/wiki/Coded_Journal_Entry_2","Memory Audio","Coded Journal Entry 2","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Coded Journal Entry #2, Third Age, circa 2940""},{""descriptiong"":""Clever, most clever… this note, written on parchment, seems to have been written with a previously heretofore undiscovered code. It appears to be neither a skip - nor a substitution code… could it be the note is ensorcelled?""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""I wouldn't believe it if I hadn't seen it. But the Orcs here have an ally in the stinking flies.""},{""descriptiong"":""Mordor has its share of stiffs, and I had thought the flies were just getting their fill. But they're moving and attacking like one. Like they got a brain.""},{""descriptiong"":""I've tried to avoid 'em. They build nests everywhere and you can hear their buzzing all the time. The Orcs here seem to worship the pests, except, of course, when getting stung by 'em. The Orcs say they're spies? But who're they spying for? They aren't yours, are they?\""""},{""descriptiong"":""""}]"
"1516728874-288","http://shadowofwar.wikia.com/wiki/Artifacts","Iron Shackle","http://shadowofwar.wikia.com/wiki/Iron_Shackle","Sir, do you mean hard work will be rewarded with a shorter sentence?","Iron Shackle","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Iron Shackle, Second Age, circa 3436""},{""descriptiong"":""\""These are prisoner's shackles, leg irons to be specific. They date back to the Second Age and were most likely worn by Gondorian captives, men and women whose involuntary servitude built the Towers of the Teeth flanking the Morannon.""},{""descriptiong"":""These captives would later throw off their shackles and begin a new life as Outcasts in Udûn. Some would keep their shackles to remind themselves of their hardship.\""""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""All right, worms. Welcome to The Black Gate. You'll be building our watchtowers for us. Hard work will be rewarded.""},{""descriptiong"":""Sir, do you mean hard work will be rewarded with a shorter sentence?""},{""descriptiong"":""You're traitors, the lot of you. Murderers and thieves. When I say rewarded, I mean I won't throw you to the Caragors.\""""},{""descriptiong"":""""}]"
"1516728878-301","http://shadowofwar.wikia.com/wiki/Artifacts","Tattered Note","http://shadowofwar.wikia.com/wiki/Tattered_Note","In-Game Description","Tattered Note","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Tattered Note, Third Age, 2942""},{""descriptiong"":""A parchment letter, sent from the Outcast Eryn, details her imminent capture by the Uruks. The note is clearly intended for Hirgon, her husband and leader of the Outcasts. Whether it has reached its intended recipient is another matter entirely.""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""My Dear Hirgon:""},{""descriptiong"":""I hide outside the camp, and pray they do not find me. They are taking anyone they find into slavery.""},{""descriptiong"":""If only you were here, but I know you must fight the Uruks or there will be no chance any of us will ever be free.""},{""descriptiong"":""I fear I will never see you again.""},{""descriptiong"":""If they find me, I do not know how long I can survive.""},{""descriptiong"":""Your beloved wife, Eryn\""""},{""descriptiong"":""""}]"
"1516728876-293","http://shadowofwar.wikia.com/wiki/Artifacts","Ranger's Cloak Clasp","http://shadowofwar.wikia.com/wiki/Ranger%27s_Cloak_Clasp","""These decorative metal bands were used by Rangers primarily to keep their cloaks closed. As guardsmen of Gondor, Rangers were held to exacting standards by their masters, and this meant keeping their clasps polished.","Ranger's Cloak Clasp","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Tarnished Ranger's Cloak Clasp, Second Age, circa 3440""},{""descriptiong"":""\""These decorative metal bands were used by Rangers primarily to keep their cloaks closed. As guardsmen of Gondor, Rangers were held to exacting standards by their masters, and this meant keeping their clasps polished.""},{""descriptiong"":""Rangers would use the clasps as makeshift signal devices, catching sunlight to create reflective flashes to communicate with their comrades over long distances.\""""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""The towers will be up soon. Don't know why we're calling them the teeth. They should be called the jaw.""},{""descriptiong"":""Because they'll be hitting us there?""},{""descriptiong"":""Indeed. Right on the jaw, and as often as they can.""},{""descriptiong"":""That's a grim outlook, brother. We'll be able to see into Mordor here. And bite if necessary.\""""},{""descriptiong"":""""}]"
"1516728885-337","http://shadowofwar.wikia.com/wiki/Artifacts","Ranger's Reading Primer","http://shadowofwar.wikia.com/wiki/Ranger%27s_Reading_Primer","Sound it out now…","Ranger's Reading Primer","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Ranger's Reading Primer, Third Age, circa 2915""},{""descriptiong"":""The Rangers of Gondor are not just powerful warriors, they also perform a host of duties throughout the Kingdom. Depending on the circumstances, a Ranger may be called upon to serve as a mediator, a judge, a medic and, on occasion, even a teacher.""},{""descriptiong"":""Rangers have been known to carry basic Reading Primers and, during their stays in villages where opportunities for learning are scant, to select a few favored pupils and show them how to read and write.""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""The memory point attached to the primer is of its original owner, Hirgon, teaching his Outcast lover, Eryn, to read:""},{""descriptiong"":""Sound it out now…""},{""descriptiong"":""FEE-AH-NOR… Fëanor. Why must you put me through this, Hirgon?""},{""descriptiong"":""There's no one to blame but yourself. You begged me to teach you the words in my books.""},{""descriptiong"":""I regret that now. What use is the page here in Mordor?""},{""descriptiong"":""Here. Look at this. A note for you.""},{""descriptiong"":""My love. Be… my… knife…""},{""descriptiong"":""Try again.""},{""descriptiong"":""…Life?""},{""descriptiong"":""Or wife.""},{""descriptiong"":""Wife? Yes, Hirgon. I am yours.""},{""descriptiong"":""""}]"
"1516728900-413","http://shadowofwar.wikia.com/wiki/Artifacts","Excavator Cog","http://shadowofwar.wikia.com/wiki/Excavator_Cog","""This cog was spit from one of the great Uruk war machines, perhaps an excavator. As the Uruks push farther and farther into Mordor, they have torn up the land seeking resources to fuel their Dark Lord's massive war effort.","Excavator Cog","[{""descriptiong"":""In-Game Description""},{""descriptiong"":""Excavator Cog, Third Age, circa 2939""},{""descriptiong"":""\""This cog was spit from one of the great Uruk war machines, perhaps an excavator. As the Uruks push farther and farther into Mordor, they have torn up the land seeking resources to fuel their Dark Lord's massive war effort.""},{""descriptiong"":""Excavators churn the ground to uncover metal for the forges, clay for the kilns, and any artifacts, weapons, or tools that might be of use.\""""},{""descriptiong"":""Memory Audio""},{""descriptiong"":""\""Here! Found it in Udûn.""},{""descriptiong"":""What is it?""},{""descriptiong"":""They got these machines, see? And they're digging up everything in Udûn. The thing tears the land up, then the slaves pick through everything. Clay and mud go to the kilns. If they find metal, that goes to the forges. Anything they can use they take back. And if they find an old weapon or piece of armor, they hand it off to the Uruk-hai, the big'uns. Maybe to study, maybe to wear, I don't know.""},{""descriptiong"":""Hm…""},{""descriptiong"":""They're on the move for sure.""},{""descriptiong"":""We must know what is happening in Mordor. We have other eyes there, but yours are sharp. You serve us well.""},{""descriptiong"":""You will return there and report back. The council must not learn of your actions. Do not get caught.\""""},{""descriptiong"":""""}]"
